task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
28	e2/aa44b9	1335190	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:HISAT2_ALIGN (K562_REP1)	COMPLETED	0	2026-03-21 14:22:41.222	30m 9s	30m 7s	743.1%	4.4 GB	5 GB	105.4 GB	77.6 GB
29	17/888012	1373739	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:HISAT2_ALIGN (H1_REP2)	COMPLETED	0	2026-03-21 14:52:49.746	30m 10s	30m 8s	742.8%	4.6 GB	5.1 GB	103.6 GB	75.2 GB
24	a7/153787	1412130	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:HISAT2_ALIGN (MCF7_REP2)	COMPLETED	0	2026-03-21 15:23:00.203	35m 36s	35m 34s	739.6%	4.5 GB	4.9 GB	127.2 GB	93.1 GB
27	43/9d9ddc	1452999	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:HISAT2_ALIGN (GM12878_REP2)	COMPLETED	0	2026-03-21 15:58:36.052	32m 1s	31m 59s	743.4%	4.4 GB	5 GB	112 GB	82.3 GB
30	1a/679331	1492380	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:HISAT2_ALIGN (H1_REP1)	COMPLETED	0	2026-03-21 16:30:36.971	35m 38s	35m 36s	744.8%	4.9 GB	5.4 GB	120.8 GB	89.5 GB
23	c0/c9484c	1533307	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:HISAT2_ALIGN (GM12878_REP1)	COMPLETED	0	2026-03-21 17:06:14.738	31m 6s	31m 4s	743.2%	4.4 GB	4.9 GB	108.4 GB	80.3 GB
25	91/796845	1572307	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:HISAT2_ALIGN (K562_REP2)	COMPLETED	0	2026-03-21 17:37:20.347	37m 28s	37m 27s	745.1%	4.4 GB	4.9 GB	129.1 GB	96.3 GB
26	1e/b26141	1614198	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:HISAT2_ALIGN (MCF7_REP1)	COMPLETED	0	2026-03-21 18:14:48.420	34m 45s	34m 43s	741.6%	4.5 GB	4.9 GB	121.3 GB	89.8 GB
33	ee/1870f5	1654566	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (K562_REP2)	COMPLETED	0	2026-03-21 18:49:32.965	19m 15s	19m 14s	591.3%	17.3 GB	20.3 GB	34.2 GB	11.3 MB
31	5a/e97ea4	1662456	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (GM12878_REP1)	COMPLETED	0	2026-03-21 19:08:48.150	16m 2s	16m 1s	584.6%	17.4 GB	20.5 GB	30.9 GB	11.3 MB
38	07/3806d8	1670067	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (H1_REP1)	COMPLETED	0	2026-03-21 19:24:49.880	17m 17s	17m 16s	589.9%	17.3 GB	20.3 GB	32.4 GB	11.4 MB
35	2b/75d1e3	1677748	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (GM12878_REP2)	COMPLETED	0	2026-03-21 19:42:06.801	16m 32s	16m 31s	587.8%	17.4 GB	20.5 GB	31.5 GB	11.3 MB
36	e1/698f33	1685387	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (K562_REP1)	COMPLETED	0	2026-03-21 19:58:38.826	14m 57s	14m 56s	583.4%	17.3 GB	20.3 GB	31.1 GB	11.2 MB
32	e8/ce91ca	1692906	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (MCF7_REP2)	COMPLETED	0	2026-03-21 20:13:35.965	14m 48s	14m 48s	590.2%	17.3 GB	20.3 GB	33.2 GB	11.4 MB
37	aa/b856cd	1700296	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (H1_REP2)	COMPLETED	0	2026-03-21 20:28:24.454	17m 12s	17m 12s	585.9%	17.3 GB	20.3 GB	29.9 GB	11.4 MB
